2016;2017;2018;2019;2020;2021;2022;2023;2024
;ArsGarbet;Villedubert;Charentus;Blye;Boulogne;CEPE DES CLAVES;HAUT CABARDES_ 2;
;Blye;Vielmur;Chute du Carré;Charentus;GIFFRE;Charentus;Champs Cornus;
;Pradel;Trébas;Decize;Decize;Vielmur;ENELPAL ALBIES;Champart;
;Rovon;Tours en Savoie;GIFFRE;Grandrif Barrot;Lac du Der;Champart;Silieg;
;Trébas;TANCUA;GIFFRENANT;Lavancia;GIFFRENANT;Champs Cornus;Pont;
;Palouma;La Murette;Jausiers;Motte;Oussiat;HAUT CABARDES_ 2;Nancy;
;Saint Nazaire;Merdelou;Lac du Der;Pradel;ENELPAL ALBIES;Boulogne;Chaudeney;
;Olt;Saint Nazaire;Molinges;Saint Nazaire;Rovon;Lac du Der;Tomblaine;
;TANCUA;Rovon;Motte;Seuil 4;Molinges;Oussiat;Rotja;
;GIFFRE;Pradel;Rovon;Merdelou;Villedubert;Silieg;Cantobre;
;Chute du Carré;Peyrusse;Seuil 16;Thomery;Tours en Savoie;Seuil 16;Toursac;
;Grandrif Barrot;Palouma;Seuil 4;Trébas;Calypso;Seuil 4;Boulogne;
;Cantagrel;Olt;Merdelou;;Charentus;Thomery;Calas;
;Villedubert;Motte;La Murette;;Seuil 6;Tours en Savoie;;
;Peyrusse;Montaut;TANCUA;;Seuil 4;Varennes;;
;Montaut;Molinges;Thomery;;Varennes;Villedubert;;
;Lavancia;LES EAUX;Tours en Savoie;;Thomery;;;
;Lac du Der;Lavancia;LIVRADOIS;;Silieg;;;
;Motte;Lac du Der;Villedubert;;Seuil 16;;;
;Molinges;Jausiers;;;Motte;;;
;Chute de Miraval;Grandrif Barrot;;;HAUT CABARDES_ 2;;;
;Tours en Savoie;GIFFRENANT;;;CEPE DES CLAVES;;;
;Vielmur;GIFFRE;;;Champart;;;
;GIFFRENANT;Chute du Carré;;;Chute du Car;;;
;;Chute de Miraval;;;Champs Cornus;;;
;;Cantagrel;;;;;;
;;Calypso;;;;;;
;;Blye;;;;;;
;;ArsGarbet;;;;;;
